Rk,Gtm,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#
85,85,0,40,37,5,10,3,0,1,5,3,0,12,0,0,0,0,0,0,2,0.244,0.327,0.443,0.77,6,12
86,86,0,38,36,6,11,1,0,2,6,2,0,8,0,0,0,1,2,0,0,0.245,0.327,0.444,0.771,5,9
87,87,0,38,33,3,9,2,0,0,3,5,0,6,0,0,0,0,2,0,0,0.245,0.328,0.442,0.77,8,11
88,88,1,39,35,7,6,2,0,1,6,4,1,16,0,0,0,0,0,1,0,0.244,0.327,0.441,0.768,5,11
89,89,0,46,36,6,6,1,0,3,6,8,0,11,2,0,0,0,0,2,0,0.243,0.327,0.441,0.768,11,11
90,90,0,44,39,4,9,2,0,1,3,4,2,10,1,0,0,0,4,0,0,0.243,0.327,0.44,0.767,9,13
91,91,1,47,37,14,12,2,0,4,14,8,0,9,2,0,0,1,0,0,0,0.244,0.329,0.443,0.772,9,11
92,92,1,47,37,13,14,2,0,2,13,6,0,6,3,0,1,0,1,2,0,0.246,0.331,0.445,0.776,10,12
93,93,0,37,31,2,5,0,0,1,2,5,0,6,1,0,0,0,0,0,0,0.245,0.331,0.443,0.774,8,12
94,94,0,39,34,5,8,0,0,2,5,3,0,10,2,0,0,0,1,0,0,0.245,0.331,0.443,0.773,7,11
95,95,1,37,34,7,9,3,0,3,7,3,0,12,0,0,0,0,0,0,2,0.245,0.331,0.445,0.775,3,10
96,96,0,41,38,3,11,3,0,1,3,3,0,6,0,0,0,1,1,1,0,0.245,0.331,0.445,0.775,11,12
97,97,1,43,39,6,13,2,0,1,6,3,0,8,1,0,0,0,0,1,0,0.246,0.332,0.445,0.776,10,12
98,98,0,40,36,3,9,0,0,2,3,2,0,7,2,0,0,0,0,0,1,0.246,0.331,0.445,0.776,10,11
99,99,0,38,34,2,7,2,0,1,2,3,0,10,1,0,0,0,0,0,0,0.246,0.331,0.444,0.775,9,10
100,100,1,29,27,1,2,0,0,1,1,1,0,12,1,0,0,0,0,1,0,0.245,0.33,0.442,0.771,3,11
101,101,1,41,36,11,11,2,0,3,11,5,0,7,0,0,0,1,0,0,0,0.245,0.33,0.443,0.774,6,11
102,102,1,40,32,8,8,1,0,3,7,7,0,9,0,0,1,1,1,1,0,0.245,0.331,0.444,0.775,8,10
103,103,0,40,34,6,7,2,0,2,6,6,0,6,0,0,0,0,0,1,0,0.245,0.331,0.444,0.775,7,12
104,104,1,37,34,7,10,1,0,4,7,3,0,8,0,0,0,0,0,0,0,0.245,0.331,0.447,0.777,6,9
105,105,0,40,33,6,10,3,0,3,6,7,0,9,0,0,0,0,3,0,1,0.246,0.332,0.449,0.78,7,11
106,106,0,34,31,3,5,2,0,1,3,3,0,8,0,0,0,0,0,1,0,0.245,0.331,0.448,0.779,4,9
107,107,0,39,34,3,10,2,0,0,3,5,0,4,0,0,0,0,1,1,2,0.246,0.331,0.447,0.778,9,10
108,108,0,31,28,0,2,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0.244,0.33,0.444,0.774,4,10
109,109,0,48,42,9,16,4,0,1,9,4,1,13,1,0,1,0,0,0,0,0.246,0.331,0.445,0.776,12,9
110,110,1,44,39,9,13,6,0,2,9,3,0,7,1,0,1,0,0,0,0,0.247,0.332,0.447,0.779,8,10
111,111,0,42,37,0,3,0,0,0,0,4,1,14,1,0,0,0,1,1,2,0.245,0.331,0.443,0.774,7,11
112,112,0,36,31,3,4,0,0,2,3,5,0,9,0,0,0,0,0,0,0,0.244,0.33,0.442,0.772,6,10
113,113,0,41,37,2,9,1,0,1,2,3,0,8,1,0,0,0,1,2,1,0.244,0.33,0.442,0.771,10,11
114,114,1,37,32,3,6,1,0,1,3,5,0,11,0,0,0,1,1,0,1,0.244,0.33,0.441,0.77,7,9
115,115,0,30,29,0,2,0,0,0,0,1,0,11,0,0,0,0,0,1,0,0.242,0.328,0.438,0.766,3,9
116,116,0,34,31,0,7,1,0,0,0,1,0,12,1,1,0,0,3,0,0,0.242,0.328,0.436,0.764,7,9
117,117,0,32,31,1,4,0,1,0,1,1,0,8,0,0,0,1,1,0,0,0.241,0.326,0.434,0.761,4,9
118,118,1,41,36,8,10,2,0,3,8,4,0,9,1,0,0,0,1,0,0,0.242,0.327,0.436,0.762,7,12
119,119,0,37,34,2,7,2,0,0,1,2,0,13,1,0,0,0,0,0,0,0.241,0.326,0.434,0.76,8,9
120,120,0,32,30,0,4,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0.241,0.325,0.432,0.757,5,10
