Rk,Gtm,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#
85,85,0,9.2,10,6,5,1,2,7,1,0,2.97,41,130,84,3,1,0,0,39,1,0,0,0,0,0,0,4
86,86,0,8,11,11,9,2,4,7,3,0,3.04,41,152,97,1,1,0,0,35,2,0,0,1,1,1,0,4
87,87,0,9,7,4,4,0,2,13,0,2,3.05,38,153,99,3,2,1,0,34,2,0,0,0,0,0,0,4
88,88,1,10,10,6,6,0,5,11,3,0,3.08,43,166,107,1,0,0,1,37,2,0,0,0,1,1,1,7
89,89,0,10,11,7,6,1,1,7,0,2,3.11,44,154,105,1,0,0,0,40,2,0,0,0,1,0,0,4
90,90,0,11,9,5,4,1,2,11,3,0,3.11,43,176,124,0,0,0,0,41,1,0,1,0,0,0,1,5
91,91,1,9,3,1,1,0,1,6,1,0,3.09,31,113,76,0,0,0,0,30,1,0,0,0,0,0,0,2
92,92,1,9,6,2,2,0,0,16,1,0,3.08,32,136,91,0,0,0,0,32,1,0,0,0,0,0,1,3
93,93,0,8.2,10,3,3,0,2,10,0,0,3.08,36,124,87,1,0,0,0,34,2,0,1,0,0,0,2,3
94,94,0,8,7,7,7,0,1,5,3,2,3.13,36,127,79,0,0,1,0,32,2,0,0,0,0,1,0,4
95,95,1,9,9,6,6,0,5,9,1,0,3.16,40,173,108,3,0,0,0,35,3,0,0,0,0,0,1,6
96,96,0,8,10,6,5,1,4,8,1,0,3.18,36,158,106,1,1,2,1,31,3,0,0,0,1,0,1,3
97,97,1,9,8,0,0,0,2,10,0,0,3.15,37,150,100,0,0,0,0,35,1,0,0,0,0,0,0,2
98,98,0,8,10,6,5,1,2,9,2,0,3.17,35,145,102,2,0,0,0,33,3,0,0,0,0,1,1,6
99,99,0,8.1,9,3,3,0,4,9,1,0,3.17,38,142,85,2,0,0,0,33,2,0,0,1,0,0,0,5
100,100,1,9,4,0,0,0,4,12,0,0,3.14,35,146,88,0,0,0,0,31,1,1,0,0,0,1,1,3
101,101,1,9,9,5,5,0,1,13,1,0,3.16,37,144,99,0,0,0,0,36,1,0,0,0,0,0,0,4
102,102,1,9,7,2,2,0,3,12,0,0,3.14,36,155,101,0,0,0,0,32,1,0,0,0,1,0,1,3
103,103,0,9,9,8,8,0,6,9,2,1,3.19,42,182,106,3,1,0,0,35,1,0,0,0,0,0,1,7
104,104,1,9,7,2,2,0,3,3,1,0,3.18,36,142,91,0,0,0,0,33,1,0,0,0,0,1,2,5
105,105,0,9,8,8,7,1,4,8,3,0,3.22,39,166,97,4,2,1,0,34,1,0,0,0,1,1,0,5
106,106,0,9,10,7,7,0,1,9,4,0,3.25,36,132,88,0,0,1,0,35,0,0,0,0,0,0,2,5
107,107,0,8,5,4,4,0,6,9,0,0,3.26,35,141,83,3,1,0,0,29,1,0,0,0,0,0,0,4
108,108,0,8,5,1,1,0,2,5,0,0,3.24,29,131,87,1,0,0,1,27,2,0,0,0,0,0,0,4
109,109,0,8,11,12,12,0,8,7,2,1,3.33,44,173,102,4,2,0,0,34,3,0,0,0,1,0,0,6
110,110,1,9,6,4,4,0,3,8,2,1,3.34,37,147,94,0,0,0,0,33,0,0,0,0,0,0,0,3
111,111,0,12.1,7,1,0,1,4,10,0,1,3.29,45,189,123,1,0,0,1,39,1,0,2,1,0,0,2,7
112,112,0,8,5,4,4,0,1,12,2,0,3.3,29,122,84,1,1,1,0,28,0,0,0,0,0,0,1,3
113,113,0,9.1,8,3,2,1,4,8,0,0,3.29,37,145,95,2,0,0,0,33,2,0,0,0,0,0,3,6
114,114,1,9,8,2,2,0,3,8,0,2,3.28,39,136,91,1,0,0,1,33,3,0,0,0,1,1,1,5
115,115,0,8,6,3,3,0,0,4,1,0,3.28,29,102,64,0,0,0,0,29,1,0,0,0,0,0,1,2
116,116,0,9,7,4,4,0,4,10,0,1,3.29,38,172,108,2,2,0,0,33,1,1,0,0,0,0,0,4
117,117,0,9,4,3,3,0,0,4,1,0,3.28,31,125,84,0,0,1,1,31,0,0,0,0,0,1,0,2
118,118,1,10,9,7,6,1,6,13,1,1,3.3,46,171,106,5,1,1,0,39,4,0,0,0,0,0,0,6
119,119,0,9,13,9,8,1,3,6,1,0,3.34,43,163,98,0,0,0,0,39,4,0,0,0,1,0,1,3
120,120,0,9,8,4,4,0,2,7,1,0,3.35,37,132,86,5,1,0,0,34,2,0,0,0,1,0,0,6
